country_code,country_name,c_sample_n,n,region,region_regime,regime_binary,row_2023,v2x_polyarchy,v2x_liberal,v2x_libdem,v2x_partipdem,cm_democracy_rights_liberal,cm_democracy_rights_all,cm_democracy_works_today,cm_ascriptive_membership,cm_civic_membership,cm_national_superiority,cm_nation_state_self_determination,cm_protective_sovereignty,cm_anti_immigrant_exclusion,cm_national_pride_non_democracy,cm_pride_democracy,cm_civic_minus_ethnic
40,Austria,1,1146,West,Western democracies,Democracy,Electoral democracy,0.846,0.928,0.777,0.597,0.8173027987814502,0.8282818722903358,0.5412531080418227,0.41443017263854537,0.7874983100626848,0.5470328968840779,0.6279455690470925,0.5203334563725553,0.5273290219050575,0.6129189523629749,0.5504213561479657,0.3730681374241394
840,United States,1,1589,West,Western democracies,Democracy,Liberal democracy,0.843,0.924,0.771,0.603,0.7754626548446126,0.7897497785678023,0.5338185956743751,0.3605357632675827,0.7842860324888554,0.4995370153973666,0.673713458309126,0.5189538183402359,0.43767060703316574,0.6396638958666289,0.5859270835842085,0.42375026922127274
124,Canada,1,2127,West,Western democracies,Democracy,Electoral democracy,0.848,0.878,0.746,0.59,0.7735039301510789,0.7973351211682759,0.5759002221580884,0.23984853540941117,0.8095418537407373,0.5478929168592409,0.6386696115340976,0.5799527252543031,0.3837012803021825,0.5898096154090388,0.6584428242406803,0.5696933183313261
380,Italy,1,1135,West,Western democracies,Democracy,Liberal democracy,0.816,0.907,0.732,0.634,0.7889085025007355,0.815525181265922,0.5218360071301248,0.5490944689182574,0.8080540858318636,0.5247648442092887,0.6964782205746061,0.4910488378934981,0.5726610767872904,0.6363689949896846,0.49866190900981266,0.25895961691360614
703,Slovakia,1,1025,Eastern Europe,Eastern Europe democracies,Democracy,Electoral democracy,0.817,0.9,0.73,0.595,0.7578963133801323,0.775013779086985,0.5246321444852001,0.61447850258657,0.7828381388938308,0.583820603718937,0.6959701933483431,0.6105574588773092,0.6480656580449633,0.594605176245963,0.42416824981366336,0.1683596363072608
440,Lithuania,1,1257,Eastern Europe,Eastern Europe democracies,Democracy,Electoral democracy,0.788,0.94,0.726,0.577,0.7990966739655995,0.8326721777815114,0.6116373565546473,0.6045283422026346,0.7754881768196786,0.5369049618713853,0.7115322484520378,0.5378036574149339,0.5413129233076925,0.6554787850428924,0.5066126772172911,0.170959834617044
158,Taiwan,1,1563,East Asia,East Asian democracies,Democracy,Liberal democracy,0.823,0.88,0.723,0.644,0.8219819694967697,0.840584191751812,0.5717381255117238,0.4194454963577987,0.8542157649296311,0.5372157793155806,0.7381541654128474,0.43618199985091616,0.44533705610458374,0.6453994190535958,0.6065020374364914,0.43477026857183243
705,Slovenia,1,1039,Eastern Europe,Eastern Europe democracies,Democracy,Electoral democracy,0.757,0.871,0.655,0.564,0.82860491648463,0.8480010318902593,0.4696777713917319,0.4009318130534076,0.7463833852902738,0.5219525954816682,0.6575229851022821,0.5037603488523639,0.5285886616183477,0.6535345332581554,0.3609384874065297,0.34545157223686623
191,Croatia,1,1400,Eastern Europe,Eastern Europe democracies,Democracy,Electoral democracy,0.744,0.877,0.646,0.504,0.7554672268240767,0.7747436829017077,0.5216791406867622,0.6103374973310728,0.7495518334389336,0.5705404551167421,0.6218788225237198,0.6118124849710392,0.6412476805251479,0.6494982274240104,0.4729543681541421,0.13921433610786083
376,Israel,2,1197,Other,Other democracies,Democracy,Electoral democracy,0.72,0.887,0.63,0.472,0.7595048198942191,0.7932557897999096,0.48132097480728203,0.48457657309243274,0.8016071752355949,0.5567513529624064,0.7208822873792291,0.5659631852662215,0.5578819243696537,0.6219206523633972,0.4093298273857328,0.31703060214316214
410,South Korea,1,1230,East Asia,East Asian democracies,Democracy,Liberal democracy,0.733,0.866,0.63,0.488,0.7410077288621298,0.7555710845280764,0.668108512582382,0.5826621077339517,0.7523894328370067,0.6421515209913253,0.62583303233129,0.5515897661454872,0.5487155460089078,0.6661474558786482,0.6129634225689445,0.169727325103055
710,South Africa,1,3112,Other,Other democracies,Democracy,Electoral democracy,0.705,0.856,0.6,0.447,0.7129478310397522,0.7290545030675302,0.3892948085509795,0.728100000329673,0.8424873723095857,0.5716975576375181,0.5507052879193796,0.59666209713835,0.6499138156285197,0.5892665392994624,0.46452605017946297,0.11438737197991267
300,Greece,1,1463,West,Western democracies,Democracy,Electoral democracy,0.74,0.767,0.584,0.512,0.7996154141508246,0.840472945056107,0.3929591982044594,0.45281992010225147,0.7729383171779362,0.42994990778763925,0.6692403810946228,0.5525143757594503,0.547411380494108,0.5780652343521179,0.3390652401383659,0.3201183970756847
348,Hungary,1,1023,Eastern Europe,Eastern Europe non-democracies,Non-democracy,Electoral autocracy,0.437,0.664,0.323,0.286,0.8301079363042307,0.8385393649727914,0.46602907453481063,0.6079096652063002,0.7885010263651764,0.5376599821633452,0.698934772237686,0.5895402843089687,0.6886153140004578,0.5956563182906471,0.39991734706949855,0.1805913611588762
484,Mexico,1,1025,Other,Other democracies,Democracy,Electoral democracy,0.549,0.473,0.307,0.387,0.8015407986111112,0.826029810298103,0.45968534906588004,0.5960433604336043,0.7808672086720866,0.541829268292683,0.6803763440860215,0.588520325203252,0.5853841145833334,0.6213053385416667,0.4425853018372703,0.1848238482384823
608,Philippines,1,1800,South/Southeast Asia,South/Southeast Asia non-democracies,Non-democracy,Electoral autocracy,0.434,0.605,0.299,0.289,0.7706446714310679,0.7742687778416418,0.6254451862825354,0.7870886182550828,0.9242282240038635,0.5790373999437509,0.6860718629615512,0.601563970328041,0.5457709418232302,0.7378163537938479,0.6845862254971512,0.1371396057487807
356,India,1,1605,South/Southeast Asia,South/Southeast Asia non-democracies,Non-democracy,Electoral autocracy,0.373,0.624,0.273,0.234,0.7122985589626083,0.7271224332955496,0.6239690651046518,0.644753233327288,0.7672973689432724,0.6829525821059604,0.7551250740664073,0.6477749769612163,0.6016835404010418,0.7220868182186377,0.77348385043649,0.12254413561598443
764,Thailand,1,1500,South/Southeast Asia,South/Southeast Asia non-democracies,Non-democracy,Electoral autocracy,0.289,0.636,0.24,0.142,0.7493331809175431,0.7581058020477816,0.46456859971711456,0.6686561059051018,0.7649314864462318,0.5818401102687801,0.7301730353280461,0.6154910915651781,0.5775988411724609,0.5966020147346264,0.596550941683685,0.09627538054112994
643,Russia,1,1574,Eastern Europe,Eastern Europe non-democracies,Non-democracy,Electoral autocracy,0.19,0.152,0.062,0.124,0.749324775384314,0.7839878066408684,0.5799590529821046,0.6465061796219276,0.8996539164452706,0.7557399867255017,0.6448901951635614,0.6407324378582651,0.708712890310339,0.8074951753579509,0.6135528249608379,0.253147736823343
