country,region,region_regime,regime_binary,predictor,outcome,outcome_label,corr,p_value,sig,n_pairwise,n_eff
Switzerland,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.0527332217402456,0.00337110749015955,**,3089,3089.0
Switzerland,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.19755853252348365,1.5129303542020439e-28,***,3088,3088.0
Switzerland,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.14805618082637806,1.4689311168277423e-16,***,3080,3080.0
Switzerland,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,0.007339798505583152,0.6892749669882119,,2970,2970.0
Switzerland,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.15061636382263882,3.814650009370983e-17,***,3091,3091.0
Switzerland,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.16513668518721442,2.5499548238044812e-20,***,3088,3088.0
Switzerland,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.2599135636393602,1.4935410743457932e-48,***,3068,3068.0
Switzerland,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.5252342456197902,1.5283155022359406e-213,***,3016,3016.0
Germany,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.12558054417587647,3.901363826202453e-06,***,1513,1343.2458446633493
Germany,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.05888338008115619,0.03158685825255351,*,1501,1332.8803538217169
Germany,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.10955316446386092,6.404725898892421e-05,***,1493,1325.8711442367462
Germany,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,-0.021153528228817907,0.46135968245716763,,1370,1214.8055966039801
Germany,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.1211938744184731,8.820522084102164e-06,***,1507,1337.3217838554815
Germany,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.19127868319854285,1.5751756312907048e-12,***,1513,1342.652907637915
Germany,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",-0.022129938164682974,0.4221780609362235,,1485,1317.675595877321
Germany,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,0.037317422746166,0.18141411977036362,,1448,1284.1099496592874
Germany,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.1536127856208739,1.9532607625626457e-08,***,1491,1323.3029975042339
Germany,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.07924404681060881,0.0040877389265463245,**,1477,1311.259056676485
Germany,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.0010717812564557544,0.9691456054788654,,1470,1304.9405312774456
Germany,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.18060146370510055,2.718617003268981e-10,***,1358,1204.7348796171523
Germany,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.3391657550750049,6.968589384780034e-37,***,1487,1319.6501309515388
Germany,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.3972618942839282,2.960145094035792e-51,***,1491,1323.0067176183004
Germany,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.21903534090374163,1.3586917955292117e-15,***,1466,1300.695005193851
Germany,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.6430382368970851,8.222310168891518e-150,***,1439,1276.1132911587115
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.08113632096793516,0.011367190632800452,*,1236,972.5404652224531
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.10013680109249798,0.0017938235557577356,**,1234,969.893449614433
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.0999337257233726,0.0019453023244077627,**,1219,959.00947909074
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,0.017074235011241255,0.618847710768379,,1087,851.3139543324123
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,0.021815667085903302,0.4970728773739424,,1236,971.2914870576906
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.17701577581382455,2.777740808654688e-08,***,1236,971.743284857171
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",-0.07791045560182033,0.015905975922772434,*,1217,957.283809290023
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.092097552065988,0.004517836819304577,**,1205,949.0679041923606
Denmark,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.10105500079515559,0.0017665636438932632,**,1212,955.0477762704568
Denmark,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.0873572623863665,0.006958130256010907,**,1211,953.3108348461852
Denmark,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.13750125908708205,2.2177700843447087e-05,***,1198,945.1262036937927
Denmark,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.033875943477958526,0.3276183520118227,,1067,837.0728765259913
Denmark,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.07322729026496476,0.02365457668288228,*,1213,954.7225152315449
Denmark,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.2543508528935066,1.4856152507205358e-15,***,1212,954.1838357054522
Denmark,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.38802302890550117,2.726893902540289e-35,***,1199,944.2459374289969
Denmark,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.6706012869235715,2.698960933543987e-123,***,1188,936.12431583329
Finland,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.19751336115278398,1.2836853847022073e-12,***,1348,1267.9008128581602
Finland,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.1202688043551535,1.8033791674218594e-05,***,1344,1264.4178868992356
Finland,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.21064671584933456,3.569991551213394e-14,***,1347,1267.019080253406
Finland,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,-0.06717470394406487,0.019908990466796277,*,1276,1200.8798235524164
Finland,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.13889476880153606,7.109466784327382e-07,***,1344,1264.55684893541
Finland,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.2930183271598658,1.7083631918793215e-26,***,1346,1266.4088719264903
Finland,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",0.05960298222182022,0.0340847387852256,*,1344,1264.2725345763674
Finland,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.028325538301489584,0.31975372455611006,,1314,1235.8437800411778
Finland,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.10970171645770606,0.00012247333961212155,***,1299,1221.1041049636576
Finland,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.1321611723129312,3.738990450101068e-06,***,1294,1216.6362641883097
Finland,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.1769979165546223,5.110579947581217e-10,***,1294,1216.2964363605993
Finland,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.03603340372134163,0.2200726425882817,,1233,1160.0119926459809
Finland,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.17322244585763147,1.220081152128581e-09,***,1292,1214.9230348939498
Finland,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.23299133372968256,1.7888584130251459e-16,***,1295,1217.6521249447128
Finland,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.35186366163379046,1.024957623248719e-36,***,1292,1214.5429107451762
Finland,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.6726916479847194,2.4361024615354053e-159,***,1280,1203.3061432954185
France,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.24330737319045262,1.6987364289791738e-17,***,1891,1190.026780124761
France,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.23312906267883943,3.0815409157448146e-16,***,1889,1196.9888479260921
France,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.20279657082114358,1.7113518693954122e-12,***,1887,1188.0795081431477
France,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,-0.10047338502422952,0.0006643492834473026,***,1801,1144.4468972917484
France,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.12558035631686906,1.4276170135332633e-05,***,1887,1187.18392966188
France,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.27151060230659274,1.8025935272893333e-21,***,1884,1184.987957237854
France,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",-0.1335479440716499,3.9437517956339245e-06,***,1875,1185.6496525255304
France,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.2091815444147191,1.3182857101206012e-12,***,1778,1126.7332124687948
France,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.04511501279003229,0.12156160744623049,,1870,1179.0185445659176
France,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.1581495144697411,4.3645861689307774e-08,***,1868,1186.116999022967
France,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.20802244759738892,5.541016871753077e-13,***,1867,1178.0424635707116
France,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,0.016248767540049905,0.5843257126694557,,1783,1135.9410973873976
France,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.1460652127036278,4.878265948633431e-07,***,1866,1176.1726789729705
France,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.16357804460104722,1.732510519350598e-08,***,1863,1173.9849706823297
France,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.4640732036586039,1.3546440290964893e-63,***,1857,1171.0338285968257
France,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.7367271862922428,6.000401403611755e-192,***,1768,1118.5230712973992
Greece,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.20773009737992465,9.245707179856733e-08,***,1438,649.187875572449
