country,region,region_regime,regime_binary,predictor,outcome,outcome_label,slope,se,p_value,sig,formatted_slope,model_n
Germany,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.08420640855051964,0.027505740058792253,0.0022498073373191287,**,0.08**,1260
Germany,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.05211238758230419,0.028234002239520238,0.06516735778524309,,0.05,1257
Germany,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.17021082687120348,0.040128908332436375,2.3951918234662712e-05,***,-0.17***,1171
Germany,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.21027041074482877,0.021495410122613228,7.859030494968585e-22,***,-0.21***,1266
Germany,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.2683419713163868,0.023860763793186888,4.942707924213786e-28,***,-0.27***,1269
Germany,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.19716728481623047,0.025769163185917772,3.9697500260191904e-14,***,0.20***,1250
Germany,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.7742225842901469,0.03058549978208067,4.702210339189866e-114,***,0.77***,1231
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.041158791927295546,0.04894477793533993,0.4006109835607313,,-0.04,920
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.05226830180834696,0.031327810573474356,0.09557262225502619,,-0.05,920
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.0797623166496777,0.04424472174679567,0.07175991055469441,,-0.08,910
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,0.12867451694432397,0.06988295128902236,0.0659496988859508,,0.13,806
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,0.05287213870793117,0.03751448503839584,0.15906318223496396,,0.05,920
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.13832504014618152,0.038143698518762904,0.00030327278388212717,***,-0.14***,920
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",-0.03512513065913403,0.03904985700845156,0.3686280790868989,,-0.04,913
Denmark,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.1556306759081174,0.04736218314154957,0.0010556176995464405,**,-0.16**,906
Denmark,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.02572649451320075,0.047252829170569936,0.5862711982405938,,-0.03,906
Denmark,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.06415106204681109,0.035427319039160354,0.07050832978096151,,0.06,906
Denmark,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.23760360479726472,0.04456977202082605,1.2381215941289684e-07,***,0.24***,897
Denmark,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,0.009838691002062916,0.06699397883492639,0.8832807112282414,,0.01,792
Denmark,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.04263601910666104,0.036726611605444874,0.24598898795152724,,-0.04,907
Denmark,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.19591932242215293,0.039738675799461484,9.77943614863435e-07,***,-0.20***,906
Denmark,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.31877047308486617,0.03704406236447805,3.386508899217857e-17,***,0.32***,901
Denmark,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.8075605004093056,0.040783267713650866,1.415803348449226e-72,***,0.81***,895
Finland,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.14695725599279363,0.044094678583497436,0.0008868369729673162,***,-0.15***,1173
Finland,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.06387006430641406,0.033500939087723454,0.056829382698298354,,-0.06,1170
Finland,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.12408108195236522,0.03194968144510469,0.00010869389391488463,***,-0.12***,1170
Finland,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,-0.03048487171236758,0.048052262342501914,0.5259442318421428,,-0.03,1110
Finland,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.08173132401200434,0.029216017845031493,0.00523511632428957,**,-0.08**,1170
Finland,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.21780314331457262,0.03769114693924651,9.658303596521428e-09,***,-0.22***,1171
