predictor,predictor_label,outcome,outcome_label,group_label,slope,se,p_value,sig,formatted_slope,p10_predictor,p90_predictor,p10_to_p90_change,change_se,change_p_value,change_sig,formatted_change,model_n,group_n
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_pride_non_democracy,"National pride, excluding pride in democracy",South/Southeast Asia non-democracies,0.1372147148922197,0.016666223601876223,1.883434066834482e-16,***,0.14***,0.4444444444444444,1.0,0.07623039716234428,0.009259013112153458,1.883434066834482e-16,***,0.08***,37039,4139
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_pride_non_democracy,"National pride, excluding pride in democracy",Other democracies,-0.005254534900418606,0.020307308912525277,0.7958288665376747,,-0.01,0.4444444444444444,1.0,-0.0029191860557881144,0.011281838284736266,0.7958288665376748,,-0.00,37039,4847
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",pride_democracy,Pride in the way democracy works,Western democracies,-0.02366794818435719,0.015243433077598465,0.12051186351985416,,-0.02,0.5,1.0,-0.011833974092178595,0.007621716538799232,0.12051186351985416,,-0.01,36309,19250
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",pride_democracy,Pride in the way democracy works,Eastern Europe democracies,-0.012262722231867695,0.0274071848215124,0.6545692526339869,,-0.01,0.5,1.0,-0.006131361115933848,0.0137035924107562,0.6545692526339869,,-0.01,36309,3801
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",pride_democracy,Pride in the way democracy works,Eastern Europe non-democracies,-0.03166253228581778,0.04530878318792888,0.48467109980925005,,-0.03,0.5,1.0,-0.01583126614290889,0.02265439159396444,0.48467109980925005,,-0.02,36309,1936
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",pride_democracy,Pride in the way democracy works,East Asian democracies,0.03572466473802993,0.0408475439802172,0.3818053370274873,,0.04,0.611111111111111,1.0,0.01389292517590053,0.01588515599230669,0.3818053370274873,,0.01,36309,2528
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",pride_democracy,Pride in the way democracy works,South/Southeast Asia non-democracies,0.050593786088134085,0.025883652321032517,0.05063067451754149,,0.05,0.4444444444444445,1.0,0.028107658937852272,0.014379806845018066,0.05063067451754149,,0.03,36309,4001
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",pride_democracy,Pride in the way democracy works,Other democracies,-0.0587843103324352,0.030128830661664673,0.051053041664673754,,-0.06,0.4444444444444444,1.0,-0.03265795018468622,0.016738239256480374,0.051053041664673705,,-0.03,36309,4793
democracy_works_today,Perceived performance of democracy today,ascriptive_membership,Closed/ascriptive national membership,Western democracies,-0.04862660201772229,0.010102209800053288,1.4892699949318437e-06,***,-0.05***,0.2,0.9,-0.0340386214124056,0.0070715468600373015,1.4892699949318388e-06,***,-0.03***,36760,19469
democracy_works_today,Perceived performance of democracy today,ascriptive_membership,Closed/ascriptive national membership,Eastern Europe democracies,-0.005522502280535746,0.01740092827584191,0.750965994667673,,-0.01,0.2,0.8,-0.003313501368321448,0.010440556965505148,0.750965994667673,,-0.00,36760,3859
democracy_works_today,Perceived performance of democracy today,ascriptive_membership,Closed/ascriptive national membership,Eastern Europe non-democracies,-0.01539277945399442,0.024444104228818913,0.5288860458551181,,-0.02,0.0,0.9,-0.01385350150859498,0.021999693805937023,0.5288860458551181,,-0.01,36760,1960
democracy_works_today,Perceived performance of democracy today,ascriptive_membership,Closed/ascriptive national membership,East Asian democracies,0.02594978210075316,0.02160272085786381,0.22967071720062499,,0.03,0.3,0.8,0.01297489105037658,0.010801360428931905,0.22967071720062499,,0.01,36760,2558
democracy_works_today,Perceived performance of democracy today,ascriptive_membership,Closed/ascriptive national membership,South/Southeast Asia non-democracies,-0.005905414879916804,0.014551703051634212,0.6848750682522812,,-0.01,0.2,0.9,-0.004133790415941762,0.010186192136143947,0.6848750682522812,,-0.00,36760,4090
democracy_works_today,Perceived performance of democracy today,ascriptive_membership,Closed/ascriptive national membership,Other democracies,0.06499209334842171,0.016293881186701786,6.65531816944466e-05,***,0.06***,0.0,0.8,0.05199367467873737,0.013035104949361428,6.65531816944466e-05,***,0.05***,36760,4824
democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,Western democracies,0.10017592891444216,0.00819873356804339,2.888288955189154e-34,***,0.10***,0.2,0.9,0.07012315024010951,0.005739113497630372,2.888288955189064e-34,***,0.07***,36717,19434
democracy_works_today,Perceived performance of democracy today,civic_membership,Civic national membership,Eastern Europe democracies,0.0709033762862743,0.016157752964957535,1.1461376142132225e-05,***,0.07***,0.2,0.8,0.04254202577176459,0.009694651778974522,1.1461376142132225e-05,***,0.04***,36717,3854
