country,n,weighted_n,region,region_regime,vdem_row_2023,regime_binary,grey_zone,core_west,democracy_rights_liberal,democracy_works_today,ascriptive_membership,civic_membership,national_superiority,nation_state_self_determination,protective_sovereignty,anti_immigrant_exclusion,national_pride_non_democracy,pride_democracy
India,1605,1604.999999999991,South/Southeast Asia,South/Southeast Asia non-democracies,EA,Non-democracy,False,False,0.7122985589626083,0.6239690651046518,0.644753233327288,0.7672973689432724,0.6829525821059604,0.7551250740664073,0.6477749769612163,0.6016835404010418,0.7220868182186377,0.77348385043649
Philippines,1800,1800.0000244859966,South/Southeast Asia,South/Southeast Asia non-democracies,EA,Non-democracy,False,False,0.7706446714310679,0.6254451862825354,0.7870886182550828,0.9242282240038635,0.5790373999437509,0.6860718629615512,0.601563970328041,0.5457709418232302,0.7378163537938479,0.6845862254971512
Thailand,1500,1500.0,South/Southeast Asia,South/Southeast Asia non-democracies,EA,Non-democracy,False,False,0.7493331809175431,0.46456859971711456,0.6686561059051018,0.7649314864462318,0.5818401102687801,0.7301730353280461,0.6154910915651781,0.5775988411724609,0.5966020147346264,0.596550941683685
Australia,993,992.9599721083715,West,Western democracies,LD,Democracy,False,True,0.7340040940189375,0.6745797996914858,0.27506165016907763,0.8083707715934213,0.5557843284840952,0.5466782256790839,0.6053969707735247,0.4067244033473067,0.6581393090247146,0.7041560783375473
Austria,1146,1146.0,West,Western democracies,ED+,Democracy,True,True,0.8173027987814502,0.5412531080418227,0.41443017263854537,0.7874983100626848,0.5470328968840779,0.6279455690470925,0.5203334563725553,0.5273290219050575,0.6129189523629749,0.5504213561479657
Canada,2127,2127.0605494697547,West,Western democracies,LD,Democracy,False,True,0.7735039301510789,0.5759002221580884,0.23984853540941117,0.8095418537407373,0.5478929168592409,0.6386696115340976,0.5799527252543031,0.3837012803021825,0.5898096154090388,0.6584428242406803
Denmark,1254,1253.9999420701154,West,Western democracies,LD,Democracy,False,True,0.738823896820706,0.7049984096457819,0.3521659790805762,0.8058571379430907,0.5983189490225885,0.6403539853994223,0.4749697139069197,0.425538504798155,0.6492091255256026,0.671706952800561
Finland,1369,1368.9999999999895,West,Western democracies,LD,Democracy,False,True,0.7614376011859054,0.6997717290121429,0.3494889525123716,0.7957114330490404,0.5435327317780256,0.6697055599570739,0.511898967662351,0.45135517529319424,0.6362691755724134,0.6870644933114352
France,1905,1904.999999999994,West,Western democracies,LD,Democracy,False,True,0.7645383048581166,0.44852632836817163,0.36717430428424214,0.833709200737402,0.44740194727989596,0.6589353651793284,0.5251977938574779,0.5016052649327739,0.5804777708587914,0.46186895785112736
Germany,1545,1544.9999999000006,West,Western democracies,LD,Democracy,False,True,0.8619704478213918,0.6014950181314835,0.35864063433627796,0.7570684689598248,0.423776932488876,0.6052469700311276,0.41988449276492756,0.43382272706475655,0.5695655948999436,0.6197027611712095
Greece,1463,1463.0,West,Western democracies,ED+,Democracy,True,True,0.7996154141508246,0.3929591982044594,0.45281992010225147,0.7729383171779362,0.42994990778763925,0.6692403810946228,0.5525143757594503,0.547411380494108,0.5780652343521179,0.3390652401383659
Italy,1135,1135.0,West,Western democracies,LD,Democracy,False,True,0.7889085025007355,0.5218360071301248,0.5490944689182574,0.8080540858318636,0.5247648442092887,0.6964782205746061,0.4910488378934981,0.5726610767872904,0.6363689949896846,0.49866190900981266
Netherlands,1509,1509.0855133999908,West,Western democracies,LD,Democracy,False,True,0.6531694243766022,0.5659471685919704,0.36167799586267624,0.7535062149613304,0.5401441011019497,0.563654126763162,0.4700419315656175,0.507699223743589,0.6744513667159879,0.6563023585513598
